title,popularity,favorites,studios
Suzuka,0.06891828689784192,0.002687166094731562,1458
Tales of Phantasia The Animation,0.16917217879334537,0.00017914440631543746,82
Yuu☆Yuu☆Hakusho,0.010222489476849068,0.09809947689833355,1574
Escaflowne,0.09260372820204449,0.0009673797941033623,241
Ai Yori Aoshi: Enishi,0.10616690051446516,0.00034236486540283604,688
Gantz 2nd Stage,0.053317298055722585,0.0017874630763473648,541
Seikai no Senki,0.14157813857152404,0.0011266192663837511,1635
Seikai no Senki II,0.16596512327119664,0.000513547298104254,1635
Seikai no Senki III,0.18724527293378768,0.000242840195227593,1635
Seikai no Senki Special,0.3526424801229371,7.961973614019442e-06,1635
Seihou Bukyou Outlaw Star,0.05378499365270261,0.009208022484613484,1635
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,0.08535444644885415,0.0015486038679267816,1467
Otogi Juushi Akazukin OVA,0.403220418253491,3.980986807009721e-06,856
Hanaukyou Maid-tai,0.1450858555488742,0.00017118243270141802,365
Bastard!! Ankoku no Hakaishin,0.12059865036413442,0.00071259663845474,36
Blood: The Last Vampire,0.06961983029331195,0.0011664291344538483,1166
Buzzer Beater,0.1954633527092938,7.56387493331847e-05,1679
Tantei Gakuen Q,0.1392062537582682,0.0010907903851206636,1574
Final Fantasy VII: Last Order,0.1003875192089263,0.0005215092717182735,856
Gun x Sword,0.08896238391127147,0.0015207369602777134,37
Kore ga Watashi no Goshujinsama,0.09083316629919155,0.0005095663112972443,511
Hametsu no Mars,0.09888421193291909,0.0011704101212608581,1861
Tonari no Yamada-kun,0.11488608271530701,0.000485680390455186,1504
Kurenai no Buta,0.032605064475178726,0.010028105766857488,1504
Ragnarök The Animation,0.11638938999131422,0.0005175282849112637,485
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,0.1677690920024053,0.00010748664378926247,1467
Samurai Deeper Kyou,0.1081379033874524,0.0008240642690510123,1467
Spriggan,0.13289236319903788,0.0003184789445607777,1423
Stratos 4,0.21069686643950025,0.00017118243270141802,1486
Stratos 4 OVA,0.3434221954967595,3.980986807009721e-06,1486
Stratos 4 Advance,0.33927974878065076,3.980986807009721e-06,1486
Dirty Pair,0.1377697601389724,0.0009952467017524302,1635
Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,0.26504977617425,4.3790854877106935e-05,981
Final Fantasy,0.19579742099285094,7.961973614019443e-05,856
Kaleido Star,0.08375091868777979,0.005477837846445377,541
Kaleido Star: Aratanaru Tsubasa - Extra Stage,0.20338077102959845,5.175282849112637e-05,541
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,0.20204449789536982,0.00012341059101730136,541
Fullmetal Alchemist: The Conqueror of Shamballa,0.026558428542794145,0.0027787287912927855,234
Howl no Ugoku Shiro,0.003273869178860159,0.12627690151834836,1504
Iria: Zeiram The Animation,0.15266920558562172,0.0006170529550865068,163
"Kumo no Mukou, Yakusoku no Basho",0.04055588962383911,0.0029737971448362617,311
Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,0.23809046569118728,4.3790854877106935e-05,36
Magic Knight Rayearth,0.09173515066479589,0.002512002675223134,1780
