title,popularity,favorites,studios
Binzume Yousei,5395,63,Xebec
Magical Canan,8068,6,AIC ASTA
Ojamajo Doremi,3144,886,Toei Animation
Ojamajo Doremi Sharp,5009,133,Toei Animation
Motto! Ojamajo Doremi,5076,164,Toei Animation
Ojamajo Doremi Dokkaan!,5520,314,Toei Animation
UG☆Ultimate Girls,7052,4,Studio Matrix
Shakugan no Shana,446,5017,J.C.Staff
Fate/stay night,190,7659,Studio Deen
Bokusatsu Tenshi Dokuro-chan,1284,1005,HAL Film Maker|Nomad
"Iriya no Sora, UFO no Natsu",4849,72,Toei Animation
I'll/CKBC,8904,6,M.S.C
Himiko-den,8296,1,Group TAC
Memories Off,8141,5,E&G Films
Memories Off 2nd,9751,2,Picture Magic|Rikuentai
Memories Off 3.5,10216,1,Picture Magic|Rikuentai
Gallery Fake,5831,61,Tokyo Kids|Tokyo Movie
Fake,5197,70,J.C.Staff
AIKa,3967,90,Studio Fantasia
Akazukin Chacha OVA,11034,6,Gallop
Bible Black,2966,604,Studio Jam
Boogiepop wa Warawanai,1732,1290,Madhouse
Burn Up Excess,6289,24,Magic Bus
Cardcaptor Sakura Movie 1,2295,219,Madhouse
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,2059,505,Madhouse
Bannou Bunka Neko-Musume,6148,38,Studio Fantasia|animate Film
Bannou Bunka Neko-Musume DASH!,8335,11,Ashi Productions
Bannou Bunka Neko-Musume (1998),7194,11,Ashi Productions
"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",1371,273,Arms
eX-Driver,6393,41,Actas
eX-Driver the Movie,8713,5,Actas
Heppoko Jikken Animation Excel♥Saga,2112,1071,J.C.Staff
Fushigi Yuugi OVA,5056,53,Studio Pierrot
Fushigi Yuugi: Dai Ni Bu,5292,44,Studio Pierrot
Futari Ecchi,4052,94,Chaos Project
Galaxy Angel,4482,214,Madhouse
Gantz,710,2546,Gonzo
Gilgamesh,3704,201,Group TAC|Japan Vistec
H2,6943,35,Ashi Productions
Haibane Renmei,831,9248,Radix
Capeta,3956,332,Studio Comet
Karas,3052,320,Tatsunoko Production
Suzuka,2064,675,Studio Comet
Tales of Phantasia The Animation,5065,45,Actas
Yuu☆Yuu☆Hakusho,307,24642,Studio Pierrot
Escaflowne,2773,243,Bones|Sunrise
Ai Yori Aoshi: Enishi,3179,86,J.C.Staff
Gantz 2nd Stage,1597,449,Gonzo
Seikai no Senki,4239,283,Sunrise
Seikai no Senki II,4969,129,Sunrise
Seikai no Senki III,5606,61,Sunrise
Seikai no Senki Special,10557,2,Sunrise
Seihou Bukyou Outlaw Star,1611,2313,Sunrise
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,2556,389,Studio Deen
Otogi Juushi Akazukin OVA,12071,1,Madhouse
Hanaukyou Maid-tai,4344,43,Daume
Bastard!! Ankoku no Hakaishin,3611,179,AIC
Blood: The Last Vampire,2085,293,Production I.G
Buzzer Beater,5852,19,TMS Entertainment
Tantei Gakuen Q,4168,274,Studio Pierrot
Final Fantasy VII: Last Order,3006,131,Madhouse
Gun x Sword,2664,382,AIC ASTA
Kore ga Watashi no Goshujinsama,2720,128,Gainax|Shaft
Hametsu no Mars,2961,294,WAO World
Tonari no Yamada-kun,3440,122,Studio Ghibli
Kurenai no Buta,977,2519,Studio Ghibli
Ragnarök The Animation,3485,130,G&G Entertainment
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,5023,27,Studio Deen
Samurai Deeper Kyou,3238,207,Studio Deen
Spriggan,3979,80,Studio 4°C
Stratos 4,6308,43,Studio Fantasia
Stratos 4 OVA,10281,1,Studio Fantasia
Stratos 4 Advance,10157,1,Studio Fantasia
Dirty Pair,4125,250,Sunrise
Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,7935,11,Nippon Animation
Final Fantasy,5862,20,Madhouse
Kaleido Star,2508,1376,Gonzo
Kaleido Star: Aratanaru Tsubasa - Extra Stage,6089,13,Gonzo
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,6049,31,Gonzo
Fullmetal Alchemist: The Conqueror of Shamballa,796,698,Bones
Howl no Ugoku Shiro,99,31720,Studio Ghibli
Iria: Zeiram The Animation,4571,155,Ashi Productions
"Kumo no Mukou, Yakusoku no Basho",1215,747,CoMix Wave Films
Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,7128,11,AIC
Magic Knight Rayearth,2747,631,Tokyo Movie Shinsha
Perfect Blue,273,21905,Madhouse
Phantom The Animation,6071,16,Arcs Create
RG Veda,7220,12,animate Film
Shoujo Kakumei Utena,1137,9741,J.C.Staff
Shoujo Kakumei Utena: Adolescence Mokushiroku,3207,769,J.C.Staff
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo!,880,333,Studio Pierrot
Onegai☆Teacher: Himitsu na Futari,3538,57,Daume
Maria-sama ga Miteru: Haru,4625,94,Studio Deen
Tales of Eternia The Animation,5636,16,Xebec
Weiß Kreuz Glühen,6859,25,ufotable
Weiß Kreuz,5458,151,Plum|Magic Bus
Tenjou Tenge: The Ultimate Fight,3847,35,Madhouse
InuYasha Movie 4: Guren no Houraijima,2397,169,Sunrise
InuYasha Movie 2: Kagami no Naka no Mugenjou,2215,270,Sunrise
InuYasha Movie 3: Tenka Hadou no Ken,2121,227,Sunrise
InuYasha Movie 1: Toki wo Koeru Omoi,2238,192,Sunrise
.hack//Gift,5354,20,Bee Train
Fantastic Children,4229,314,Nippon Animation
Gokujou Seitokai,5348,68,J.C.Staff
Mushishi,226,28346,Artland
Buttobi!! CPU,6565,26,OLM
One Piece Movie 01,1718,478,Toei Animation
One Piece Movie 02: Nejimaki-jima no Daibouken,2206,42,Toei Animation
One Piece Movie 03: Chinjuu-jima no Chopper Oukoku,2439,33,Toei Animation
One Piece Movie 04: Dead End no Bouken,2167,76,Toei Animation
One Piece Movie 05: Norowareta Seiken,2488,42,Toei Animation
One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,2086,546,Toei Animation
